Unnamed: 0,date,score,reviews,sentiment
0,2015-05-31 15:01:32,2,어플에서 로그인이안되요,9
1,2015-06-03 16:55:12,1,먼저묶어둔다고 받아가고 거절당하니까 안주네 짱나게,9
2,2015-06-06 16:36:25,5,간간히 이용하지만 좋네요,0
3,2015-06-11 12:52:50,5,쓰레기 앱 바다에서 홀로 빛나는 어플,9
4,2015-06-17 16:42:26,1,예약취소햇더니 환불해준다는 설명따위 없고 안해줌 문위하기도 힘들게 해놯음,9
5,2015-06-22 18:18:34,5,제주도 여행가느라 숙소 검색했는데 너무 좋은 게스트 하우스를 알게되어서 푹 쉬고왔네요 이 앱대중적이지 않게 되었으면 하는 바람,0
6,2015-06-26 20:22:47,5,한국인으로서 매너지킵시다,9
7,2015-06-30 17:10:13,4,전에 검색했던 곳이 계속 남아있어서 불편합니다 검색기록 지울 수 있는 항목이 생겼으면 좋겠습니다,9
8,2015-07-03 12:27:36,5,업데이트해도 스마트폰에 문의자 글이 떴다는것을 안 알줘요,9
9,2015-07-08 18:20:38,5,사용하면 할수록 정말 쉽고 편리하게 그리고 신뢰할 만한 사이트인거 같아요,1
10,2015-07-09 13:50:09,1,숙소도 다 잡고 돈도 다 냈는데 확인을 할려고 그러니까 로그인이 안되네요잠시 비활성화 해두었다고 뜨는데 비활성화 좀 풀어주세요,9
11,2015-07-12 08:03:45,3,자꾸버그가 생겨여 g4에서 더욱심하네여,9
12,2015-07-14 06:24:18,1,본인인증에서 구글하고 페북연결이 왜 자꾸 안되는거에요 심지어 예약확정되지도 않았는데 카드긁혔다고 문자날아옴 장난 콜센터는 전화도안받고 대체 뭐어쩌자는거죠 인증하게 하려면 가입할때 애초에시키던가 방예약하려고보니까 이제서야인증하라고 2시간이 넘도록 붙잡고 있었는데 아직도 못했습니다 새벽버스타고 이동인데 도착하면 길바닥에서 자겠어요 고마워요비엔비,9
13,2015-07-15 08:58:39,1,왜 여권인증하래요 계속,9
14,2015-07-17 13:55:11,1,예약과동시에 숙박측에서 예약승인하면 내의사상관없이 카드결제되고 해외승인건으로 처리되서 수수료도붙음거기다 몇분전 예약한거 바로취소했는데도 취소수수료4400원붙어서 이런게어딧냐닌까 자기들환불규정이그렇다면서수수료안돌려줌잘알아보고예약누르세요거기다 우리나라방 결제하면 us달러로 환율로 측정되서 해외카드수수료랑 붙어서 실제금액보다 더 비싸게 결제되니 잘 보고 예약하세요,9
15,2015-07-19 00:26:01,5,해외여행갈때 이용해봤더니 편리하고 다른숙소에 비해 저렴해서 좋네요 추천합니다,0
16,2015-07-19 21:52:42,5,인터넷에서 어떤 분들은 여러 문제가 있었다고들하는데 저는 이걸로 지금 5건 정도 예약완료하고 다녀왔는데 별 문제가 없었어요 호스트한테 직접 연락하면 대부분 문제가 해결되더라구요 만족합니다,1
17,2015-07-20 01:19:38,5,가격을 한국돈으로하고싶은데 어떻게하나요,10
18,2015-07-20 01:32:55,1,수수료 장난아님 환불정책도 눈에안띄고 이것땜에 여행가려다가 다망침 별하나도 아까움,9
19,2015-07-20 21:59:00,1,21갤 유아동반한다니 안된다며 예약취소하라고 하여 10분내 취소하려하니 수수료발생해서 호스트한테 얘기하니 지네는 패널티먹어서 안되고 우리보고 취소하라는 그지같은 호스트에 어떤사유든 수수료 받아쳐먹는 것들에라이 망해버려라 전화해서 그냥 돈보내주는게 수수료 없어서 훨싸다물건도 올려놓고 요청하면 다 나갔다그러고 머 이런 개같은 시스템이 있는지국내 숙소는 괜한 수수료 내지마시고 그냥 전화해서 예약하고 결제하시길,9
20,2015-07-22 07:46:10,1,당일환불해도 수수료 장난아니게 빠지고 서비스 엉망임절대 여기서 이제 방안구한다가서보면 사진하고 딴판임,9
21,2015-07-26 16:32:08,1,단순변심 예약취소하면 50 환불 예약하자마자 취소했는데 50 미친,9
22,2015-07-28 03:54:44,3,친구함께,5
23,2015-07-28 06:50:27,4,급할땐 언지든지 숙박을 해결,5
24,2015-07-29 22:38:36,1,예약하기전에 환불정책먼저 필히 확인하고 예약해야 손해를 덜봄 그리고 괜찮아보이는 호스텔은 청소비수수료 붙으면 왠만한 호텔가격임 가격이 싼곳으로 4층을 예약했더니 변두리 계단5층짜리 집이였음 마침 주인은 집에없었고 난 한참을 밖에서 기다려야했음,9
25,2015-07-31 16:26:46,1,pc에선 페북로그인햇는데 모바일로 페북로그인안된다는데 어떻게해야되나요,7
26,2015-07-31 17:41:13,1,웹에서 페이스북 로그인 후 구글 앱을 설치하여 로그인 하려고 했는데 원격 서비스로 인증할 수 없었습니다 라는 메시지와 함께 로그인 오류가 발생합니다 어떻게 해야하죠,7
27,2015-08-01 14:44:01,4,새로운 지역 여행할 때 유용하내요,1
