date,score,text,sentiment
2025-04-19,1,최악 바이크 요금 더 받으려고 일부러 서비스 종료에서 오류 만들어 두는 것 같음 분 넘게 오류로 종료 안 되서 서비스 챗으로 겨우 종료함 그 때도 묻는다는 건 내가 제대로 서비스 지역에서 종료하는 게 맞는지부터 확인함 버스 놓쳐서 약속도 늦음 몇 번이고 수정 요청했으나 안 고치는 거 보면 모르면 당하라는 전형적인 소식 운영,9
2025-05-08,1,카카오택시 내비게이션이 이상합니다 제가 가는 거리에 맞춰 최단거리라고 설정해 놨는데 기사님 오셔서 출발하면 자기 마음대로 추천 경로로 바꿔 버리더군요 그게 더 거리가 멀고 비용이 높게 나오는 길입니다 설정했는 데에도 불구하고 가는 길이 마음대로 바뀌는 건지 시스템 수정해 주세요 한두 번이 아닙니다,9
2025-03-12,3,업데이트 좀 하셈 저번보다 나아지긴해도 택시가 오기까지 위치가 고정되어 있는 것은 무슨 생각이 심  업데이트는 다른 거 다 필요 없고 그냥 택시 도착까지 차가 움직이는 내비게이션 정상 작동 입니다 이거 때문에 엄청나게 다퉜음 빨리 고치라는 말은 안 할게요 그건 심적 부담이 심해서 적당한 속도로 고치라고만 할게요 티머니보다는 아직은 카카오라서 이만한 택시 호출 앱이 없습니다 만약 저 버그가 완전히 고쳐진다 그럼 별 개 수정할게요 그 전까지는 별 개,9
2025-05-14,1,오류인지 자꾸 어플 켠 적도 없는 데 택시 배차가 되었다고 뜨고 기사님께 전화가 옵니다 한 두 번도 아니고 너무 많이 그러는데 다 저도 황당한데 기사님들도 연결 상태 때문에 화 내십니다 오류 수정 부탁 드립니다 리뷰 적고 있는데 또 다른 차가 배정됐네요 제가 차근차근 설명 드려도 기사님들께는 돈이 달린 일이라 많이들 흥분하시는데 빠르게 해결해 주세요 계속 싸우기 힘들어서 어플 제거했습니다,9
2025-04-24,3,퀵을 물건 보낼 것 있는데 급할 때 이용하곤하는데 오토바이 퀵을 선택했어도 차량이 잡혀서 곤란할 때가 많았음 오토바이만 잡히도록 선택하지 않아서 그렇다며 차량 기사가 짜증 내는데 앱 어디를 봐도 그 옵션을 못 찾겠음 오늘도 한 건 보내느라 애먹었음 그것 좀 해결해 주면 계속 쓸 생각 있는 데 아니면 다른 거 쓸 거임,9
2025-04-14,1,황당한 일이 있었습니다 택시는 잡혔는데 갑자기 앱이 꺼지더니 실행이 전혀 안 되면서 껐다 키고 데이터 지우고 온갖 방법을 다 해서야 겨우 로그인했습니다 잡힌 택시의 번호도 어디까지 온 지도 모르니 길가에 서 있는 택시들에게 하나씩 찾아가 여쭤봐서 택시 찾는 데에 상당히 애먹었네요 이런 일 없게 버그 수정 잘 해 주세요 리뷰 보니까 이런 일들이 한 두 번이 아니었던 것 같은데 계속 이런 식이면 나 등 다른 택시 앱으로 바꿔야할 것 같네요,9
2025-04-20,2,가장 택시 수가 많아서 자주 이용하는 데 노선도 돌아가는 노선이나 좁은 길목으로 안내해서 오히려 더 늦는 적도 많고 버퍼링도 많이 걸리고 불편한 점이 너무 많네요 몇 년 쓰는데 피드백도 전혀 수용이 안 되는 것처럼 보이네요 리뷰도 확인 안 하구요 사용자 수가 많다고 피드백이 전혀 반영되지 않는 건 좋아 보이지 않습니다,7
2025-04-03,1,호출하려는데 앱이 응답 없고 안 돼서 앱 끄고 핸드폰 재부팅도 해 봐도 안 돼서 전화로 다른 택시 불러서 탔는데 얼마 후에 전화가 한 통 오더라고요 알고 보니 앱 응답 없을 때 택시가 호출됐었고 그거 땜에 연락 주셨는데 상황 설명하니 알았다고 하시고 콜 취소해 주셨어요 왜 꼭 필요할 때 안 들어 가지고 안 뜨고 버벅 거리는지 모르겠어요 하 진짜 짜증 나네요,9
2025-04-24,1,맨날 반대 차선 택시만 잡아 주는 이유가 뭔가요 단순히 거리가 가까우면 뭐 해요 어차피 반대 차선이라 분 걸려서 돌아오는 데 한 두 번이 아니라 번에 번은 이 딴 식임 제발 도로 공부 좀 하고 시스템 개발 투자 좀 제대로 하세요,9
2025-03-16,3,경로를 정할 수 있게 되 있으면 정한 대로 가면 되지 왜 택시 타고 나서 보면 멋대로 경로가 바뀌어 있는 경우가 많은 건지 모르겠네요 도로 상황에 따라 강제로 바꾸는 거 같은데 하필 그 바뀐 경로가 거리상으론 살짝 빠를진 몰라도 길이 좁고 차 막혀서 오히려 늦는,9
