date,score,text,sentiment
2025-05-17,1,한 번 사용하고 번째 사용할려고하는데 프로모션 적용 중이면서 사용이 안 된다고 하면서 계속 취소가 되서 너무 안 좋네요 설정 해제 방법도 없고 여행 와서 기분이 너무 안 좋네요 어플 사용하는 것을 비추천 드립니다,7
2025-05-10,1,대만 가서 사용할려고 준비해서 카드 등록하고 타 국어는 검색되지도 않는  심지어 영어 한국어로 검색해도 잘 나오지 않는 시스템으로 지도도 안 나오는데도 불구하고 어찌저찌 택시 호출 직전까지 준비했는데 아니 무슨 프로모션 적용이 안 된다고 진행이 안 됨 가족들은 나만 보고 있고 프로모션 적용을 끄고 싶어도 끌 수도 없음 비싼 가격의 캡이 아닌 그냥 일반 가격의 우버를 이용하고 싶은 데도 방법이 없음 분 동안 해매다 그냥 주변 택시 브로커에게 이야기해서 우버 택시 일반 가격보다 비싼 가격 주고 다님 도대체 무슨 정책이 프로모션이 무조건 적용되어야만하냐고,9
2025-01-06,1,어제 기사가 안 와서 탑승하지 못 했습니다 그러나 요금 자동 결제되었고 우버 측은 환불 거부했습니다 소비자 권리에도 관심 없는 우버  유럽에서 우버 예약했고 예약 시간에 예약 장소에서 기다렸으나 앱 상으로는 우버가 인근에 왔다고 표시되었음에도 우버는 보이지 않았음  분 더 기다렸으나 우버는 보이지 않고 앱 상으로는 우버가 픽업 장소에서 목적지를 향해 출발하는 것으로 표시되었음 이에 앱으로 기사에게 회 메시지 보냈으나 회신 없었음  곧이어 나는 기사에게 전화했으나 기사는 전화를 받고 바로 끊어 버렸고 이에 나는 번 더 전화했으나 기사는 받지 않았음  마지막 전화 시도 후 분 지나 우버 앱에서는 목적지에 도착했다며 요금이 결제되었음  나는 우버 앱을 통해 우버 측에 상황을 설명하면서 환불을 요청하였고 기사와의 통화 내역 등 자료 첨부했으나 우버 측은 웹 상으로 목적지에 도착한 것으로 표시되어 있다는 이유만으로 환불 요청을 거부하였음,9
2024-12-13,1,요 근래 이용 시 배차 부를 때 선불로 돈이 빠져나가는데 배차 이후 출금 정정 빠르게 되더니 오늘은 출금 정정이 안되어서 목적지 도착 후 잔액이 부족해 기사님이 입력하신 금액 출금이 안 되고 있습니다 이게 어플상 오류라면 고쳐 주시거나 업데이트된 기능이라면 출금된 기존 금액이 기사님께도 보이도록해서 남은 금액만 입력해 가져가시도록 바꿔야하는 거 아닌가요 왜 번거롭게 출금 정정 다시 출금 되도록해 놨나요 수수료 이야기가 아닙니다 원이 수수료일 리가 없잖아요 그쵸,9
2025-02-14,1,고객 응대에 있어서 최악의 앱인 거 같습니다 우버 사용 중 갑자기 앱 사용이 에러가 나더니 계정이 잠김 처리되서 고객 센터에 문의했더니 자기들이 최종적으로 그렇게 결정했다고 사용 못한다는 답변이 오고 끝이네요 어떤 원인으로 문제가 생겼는지 확인할 생각도 안 하고 그냥 본인들 편하려고 답변만 보내고 끝내는 듯한 느낌입니다 다시 사용하고 싶은 생각이 안 드네요 해외에서 늦은 시각에 우버 타려고 준비하는 사람들은 꼭 대안을 만들어 두세요 갑자기 계정 잠김되면서 안 되서 당황스러울 수 있습니다,9
2025-04-21,3,반대편을 가로질러 올 수 없고 유턴을 해야지만 올 수 있는데 마치 지도에 가로질러 올 수 있는 것마냥 표시되며 분 뒤 도착이라고 함 그리고 실제 기사 위치와 지도에 표시된 기사 위치가 꽤나 차이 나는 경우가 있음 그러면 지도에는 도착했다고 뜨는데 실제로 기사님이 안 옴 그래서 전화를 하면 다 와 간다고만 시 전함 취소도 할 수 없고 개 같음,9
2021-11-22,1,잉 리뷰 달아 놓은 게 삭제가 되었네요 다시 써 봅니다 구 우티  현 우티로 넘어온 이용자인데요 여러모로 불편해요  즐겨찾기 메뉴도 등록이 되어 있으면서 즐겨찾기 선택  항목 클릭 시 보이는 게 없고 등록을 해 놔도 계정 설정을 들어가지 않는 이상 어떻게 추가되었는지 알 수가 없어요  배차  변경된 건 그래요 좋긴한데 주변에 몇 개의 드라이버 차량이 있는지 볼 수 있는 점은 장점  애니메이션이 되게 헷갈리게 되어 있어요 잡고 있는 중인지 아니면 그냥 로딩 중인지 글자를 직접 읽어야 구분이 갑니다  배차가 되지 않을 때 배차 취소 버튼 어디 갔나요 그리고 현장 결제 아니면 우티는 원래도 배차가 느렸는데 강제 결제로 선택되어서 배차 시간 너무 깁니다 안 잡히는 게 다수  없던 배차 수수료가 생긴 점은 그러러니 합니다  계정 삭제 하려고하는데 왜 자꾸 비번이 틀렸다고 뜨는지 하,9
2024-12-25,1,로머 여행 중에 기사로부터 노쇼를 당했고 탑승도 하지 않은 요금이 빠져나갔는데 우버는 본인들이 할 수 있는 게 없다고 택시 회사에 직접 연락해서 처리하라고 합니다 기사가 나타나지도 않은 상황에서 픽업을 한 것으로 시스템 처리를 하고 자기 혼자 어딘가로 운행을 한 듯한데 이용객의 입장에선 취소도 안되고 아무 것도 할 수 있는 선택권이 없었습니다 기사가 운행 완료 처리를 한 이후에야 다시 기능이 활성화 되었고 탑승을 하지도 않은 요금이 우버를 통해서 결제가 되었는데 본인들이 할 수 있는 부분이 없다라고 대응하는 게 맞는 걸까요 이용자 보호가 전혀 되지 않는 시스템입니다,9
2021-10-12,1,타 카카 구티맵 택시까지 다 이용하는 프로택시러인데 진짜 우버가 젤 구림 진짜 프로모션을 많이 해서 사용하긴하지만 본인 거주지 특성상 일반 통행이 굉장히 많은데 콜을 부르고 기사님이 오는 경로를 보면 그런 것도 전혀 반영되지 않은 경우가 허다하다 내가 기다리다가 기사님이 오기 편한 내 목적지로 가기 편한 방향으로 미리 가서 서 있은 경우가 굉장히 잦다 같은 목적지를 찍어도 경로가 굉장히 돌아가는 경로 최단 시간이 전혀 아닌 경로를 선택해 가는 경우가 많아 답답함 어플 중지도 잦고 기사님 경로도 실시간이 아니라 딜레이 되는 경우가 굉장히 잦음 다른 택시 어플에서 느껴 보지 못한 불편함이 존재함 그렇다고 특출난 장점도 없음,7
2019-09-16,3,현재 해외에서 우버 앱을 사용하고 있습니다 정말 편안하게 이용하고 있는데 몇 달 전부터 고객 지원의 메뉴가 바뀌더니 정당한 컴 플레인도 할 수가 없도록 인터페이스가 바뀌었네요 지점에 가 봐도 앱을 지웠다가 다시 깔라고만 안내해 주었는데 다시 해도 바뀌는 것이 없습니다 담당자 말로는 외국인인 제가 컴 플레인을 너무 많이 걸어서 제 권한을 제한한 것 같다고 하는데 정당한 컴 플레인을 하는 것 자체를 막는 것은 기업의 이미지에 좋지 않을 뿐만 아니라 고객을 동류의 앱에 빼앗길 수 있다는 것을 알고 올바른 조치를 취해 주면 좋을 것 같습니다 현재 이러한 상황으로 인해 우버 기사 분들이 목적지에 도착하고도 여행 종료를 누르지 않아 더 많은 금액을 부담하는 경우가 하루 한 번 이상 있고 또 문제로 경로가 지그재그로 표시되어 움직인 거리가 배 넘게 나와 가격이 많이 나온 부분에 대해서도 돌려받지 못하고 있습니다 우버가 더 큰 기업이 되기 위해성 이 부분들이 바뀌어야할 것 같네요,7
